City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Abaza,100,RU,1584468904,87,52.66,90.09,29.39,4.41
Jodhpur,17,IN,1584468904,22,26.29,73.03,75.65,10.49
Ancud,40,CL,1584468904,67,-41.87,-73.82,60.8,6.93
Albany,17,AU,1584468904,81,-35.02,117.89,53.6,10.29
Tiksi,84,RU,1584468905,88,71.69,128.87,-30.73,8.37
Hofn,20,IS,1584468905,64,64.25,-15.21,35.6,11.41
Dikson,100,RU,1584468905,96,73.51,80.55,3.47,10.36
Cape Town,13,ZA,1584468874,82,-33.93,18.42,68,12.75
Warrnambool,93,AU,1584468905,47,-38.38,142.48,73,14.27
Hobart,100,AU,1584468774,52,-42.88,147.33,69.01,9.17
Torbay,20,CA,1584468905,50,47.67,-52.73,32,16.11
Hay River,40,CA,1584468906,64,60.82,-115.8,1.4,4.7
Deputatsky,100,RU,1584468906,94,69.3,139.9,-7.51,6.62
Yellowknife,75,CA,1584468901,62,62.46,-114.35,-9,4.7
Orange Cove,75,US,1584468906,62,36.62,-119.31,54,8.05
Ushuaia,75,AR,1584468775,62,-54.8,-68.3,53.6,4.7
Cascas,90,PE,1584468906,59,-7.48,-78.82,66.2,5.82
Les Cayes,3,HT,1584468907,68,18.2,-73.75,78.35,5.77
Atuona,20,PF,1584468907,76,-9.8,-139.03,82.31,12.03
Kapaa,90,US,1584468824,100,22.08,-159.32,73.4,13.87
Mana,100,GF,1584468907,57,5.66,-53.78,86.09,6.58
Katangli,65,RU,1584468907,91,51.71,143.23,13.91,6.49
New Norfolk,100,AU,1584468908,52,-42.78,147.06,69.01,9.17
Longyearbyen,20,SJ,1584468707,68,78.22,15.64,-18.4,4.7
Butembo,72,CD,1584468908,85,0.15,29.28,65.75,3.85
Rikitea,29,PF,1584468908,81,-23.12,-134.97,80.15,14.85
Chicama,40,PE,1584468908,83,-7.84,-79.15,75.2,9.17
Tasiilaq,20,GL,1584468908,72,65.61,-37.64,15.8,3.36
Vaini,90,TO,1584468909,94,-21.2,-175.2,78.8,8.05
Saint Paul Harbor,90,US,1584468909,86,57.79,-152.41,39.2,5.82
Kidal,89,ML,1584468909,16,18.44,1.41,88.97,7.36
Bjørnevatn,40,NO,1584468909,79,69.67,29.98,24.8,9.17
Bredasdorp,0,ZA,1584468909,72,-34.53,20.04,68,11.41
Boa Vista,75,BR,1584468909,39,2.82,-60.67,95,13.87
Port Lincoln,84,AU,1584468910,42,-34.73,135.87,72.77,2.46
Vao,1,NC,1584468910,75,-22.67,167.48,76.73,17.34
Barrow,90,US,1584468627,85,71.29,-156.79,14,12.75
Port Alfred,87,ZA,1584468910,78,-33.59,26.89,69.53,10.74
Yerraguntla,8,IN,1584468910,51,14.64,78.54,81.05,8.1
Eyl,46,SO,1584468911,76,7.98,49.82,80.87,18.37
Norman Wells,90,CA,1584468911,92,65.28,-126.83,19.4,3.4
Oistins,40,BB,1584468911,58,13.07,-59.53,84.2,13.87
Jamestown,57,SH,1584468911,73,-15.94,-5.72,76.91,11.79
Karratha,0,AU,1584468911,73,-20.74,116.85,86.27,11.14
Carutapera,39,BR,1584468912,78,-1.2,-46.02,82.13,11.39
Saint George,40,BM,1584468836,63,32.38,-64.68,69.01,9.17
